[2023-02-01T08:33:30.378429+01:00] Rizal\Logger\LoggerTest.INFO: Log [] []
[2023-02-01T08:46:31.150506+01:00] Rizal\Logger\LoggerTest.INFO: Log [] []
[2023-02-01T08:46:49.107444+01:00] Rizal\Logger\LevelTest.INFO: Info Level [] []
[2023-02-01T08:46:49.121221+01:00] Rizal\Logger\LevelTest.EMERGENCY: Emergency Level [] []
[2023-02-01T08:46:49.121347+01:00] Rizal\Logger\LevelTest.DEBUG: Debug Level [] []
[2023-02-01T08:46:49.121416+01:00] Rizal\Logger\LevelTest.ALERT: Alert Level [] []
[2023-02-01T08:46:49.121482+01:00] Rizal\Logger\LevelTest.CRITICAL: Critical Level [] []
[2023-02-01T08:46:49.121552+01:00] Rizal\Logger\LevelTest.NOTICE: Notice Level [] []
[2023-02-01T08:50:17.395101+01:00] Rizal\Logger\LevelTest.INFO: Info Level [] []
[2023-02-01T08:50:17.399114+01:00] Rizal\Logger\LevelTest.EMERGENCY: Emergency Level [] []
[2023-02-01T08:50:17.402101+01:00] Rizal\Logger\LevelTest.DEBUG: Debug Level [] []
[2023-02-01T08:50:17.402268+01:00] Rizal\Logger\LevelTest.ALERT: Alert Level [] []
[2023-02-01T08:50:17.402492+01:00] Rizal\Logger\LevelTest.CRITICAL: Critical Level [] []
[2023-02-01T08:50:17.402610+01:00] Rizal\Logger\LevelTest.NOTICE: Notice Level [] []
[2023-02-01T08:50:56.548440+01:00] Rizal\Logger\LevelTest.INFO: Info Level [] []
[2023-02-01T08:50:56.553269+01:00] Rizal\Logger\LevelTest.EMERGENCY: Emergency Level [] []
[2023-02-01T08:50:56.553742+01:00] Rizal\Logger\LevelTest.ALERT: Alert Level [] []
[2023-02-01T08:50:56.553864+01:00] Rizal\Logger\LevelTest.CRITICAL: Critical Level [] []
[2023-02-01T08:50:56.553985+01:00] Rizal\Logger\LevelTest.NOTICE: Notice Level [] []
[2023-02-01T09:02:17.169223+01:00] Rizal\Logger\ContextTest.INFO: Successful Login {"username":"rizal300500"} []
[2023-02-01T09:02:17.176771+01:00] Rizal\Logger\ContextTest.ERROR: Error Login {"username":"_Rizal"} []
[2023-02-01T09:03:04.032153+01:00] Rizal\Logger\ContextTest.INFO: Successful Login {"username":"rizal300500"} []
[2023-02-01T09:03:04.036334+01:00] Rizal\Logger\ContextTest.ERROR: Error Login {"username":"_Rizal"} []
[2023-02-01T09:18:52.807749+01:00] Rizal\Logger\ProcessorTest.INFO: Hello [] {"app":{"author":"Rizal","app":"Belajar PHP Logger"}}
[2023-02-01T09:21:04.004775+01:00] Rizal\Logger\ProcessorTest.INFO: Hello {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"}}
[2023-02-01T09:21:37.547896+01:00] Rizal\Logger\ProcessorTest.INFO: Hello {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"}}
[2023-02-01T09:35:09.842097+01:00] Rizal\Logger\ProcessorTest.INFO: Hello {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"memory_usage":"4 MB"}
[2023-02-01T10:04:13.096883+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:27 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.096964+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:28 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097028+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:29 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097129+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:30 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097193+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:31 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097252+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:32 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097313+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:33 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097370+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:34 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097431+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:35 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097487+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:36 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097549+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:37 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097605+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:38 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097670+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:39 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097730+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:40 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097786+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:41 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097841+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:42 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097900+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:43 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.097955+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:44 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098014+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:45 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098075+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:46 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098140+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:47 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098197+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:48 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098255+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:49 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098313+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:50 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098371+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:51 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098429+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:52 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098485+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:53 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098543+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:54 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098601+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:55 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098662+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:56 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098719+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:57 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098775+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:58 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098829+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:59 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098889+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:60 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.098947+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:61 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099005+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:62 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099064+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:63 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099121+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:64 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099183+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:65 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099244+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:66 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099305+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:67 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099365+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:68 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099421+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:69 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099480+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:70 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099536+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:71 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099595+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:72 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099657+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:73 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099713+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:74 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099769+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:75 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099827+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:76 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099888+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:77 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.099943+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:78 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100003+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:79 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100061+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:80 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100119+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:81 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100175+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:82 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100233+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:83 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100295+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:84 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100355+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:85 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100413+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:86 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100538+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:87 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100600+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:88 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100663+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:89 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100718+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:90 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100779+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:91 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100838+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:92 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100894+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:93 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.100950+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:94 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101008+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:95 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101065+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:96 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101123+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:97 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101183+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:98 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101238+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:99 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101298+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:100 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101362+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:101 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101418+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:102 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101478+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:103 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101534+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:104 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101595+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:105 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101667+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:106 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101723+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:107 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101821+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:108 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101883+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:109 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101942+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:110 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.101997+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:111 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103241+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:112 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103420+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:113 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103490+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:114 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103552+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:115 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103622+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:116 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103685+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:117 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103773+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:118 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103841+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:119 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103901+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:120 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.103970+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:121 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.104032+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:122 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.104093+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:123 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.104153+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:124 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.104215+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:125 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.104277+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:126 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.104340+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:127 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.104514+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:128 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.104590+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:129 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
[2023-02-01T10:04:13.104650+01:00] Rizal\Logger\ProcessorTest.INFO: Reset:130 {"test":"test"} {"app":{"author":"Rizal","app":"Belajar PHP Logger"},"hostname":"LAPTOP-4QP883JF","memory_usage":"4 MB"}
